name,logo,image,image_upright,image_caption,trading_name,former_name,type,traded_as,industry,area_served,key_people,products,services,revenue,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,founders,founded,hq_location,hq_location_city,hq_location_country,num_employees,website,footnotes,_company_name,logo_alt,image_alt,trade_name,founder,brands,logo_size,image_size,location,subsid,owner,foundation,predecessor,num_employees_year,former_names,ISIN,logo_upright,logo_caption,num_locations,num_locations_year,module,parent,homepage,predecessors,owners,location_city,location_country,divisions,locations,members,members_year,production,defunct,fate,successor,native_name,logo_class,genre
"Copart, Inc.",Copart logo.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|CPRT|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CPRT}},Automotive,,"{{plainlist|
* [[Jay Adair]] ([[executive chairman]])
* [[Willis J. Johnson]] (chairman)
* Jeff Liaw ([[CEO]])}}",,,{{increase}} {{US$|4.65&nbsp;billion|link|=|yes}} (2025),,{{increase}} {{US$|1.69&nbsp;billion}} (2025),,{{increase}} {{US$|1.55&nbsp;billion}} (2025),,{{increase}} {{US$|10.1&nbsp;billion}} (2025),,{{increase}} {{US$|9.19&nbsp;billion}} (2025),,,"{{Start date and age|1982}} , in [[Vallejo, California]], United States",,"[[Dallas, Texas]]",U.S.,"11,600 (2025)",{{URL|https://copart.com/}},,Copart,,,,[[Willis J. Johnson]],,,,,,,,,,,,,,,,,,,,,,,,281 (2025),,,,,,,,,
"CoStar Group, Inc.",Costar group logo.png,"CoStar Group HQ in Arlington, VA.jpg",,"Headquarters in Arlington, Virginia",,,[[Public company|Public]],{{ubl|NASDAQ|CSGP|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CSGP}},[[Commercial property]],"{{Plainlist|
* Australia
* Canada
* France
* Germany
* Spain
* United Kingdom
* United States}}","{{Plainlist|
* Andrew C. Florance ([[President (corporate title)|president]] and [[CEO]])
* Louise S. Sams ([[chairman]])
* Lisa Ruggles ([[Senior Vice President|SVP]], global operations)
* Frank Simuro ([[Chief Technology Officer|CTO]])}}",,,{{increase}} {{US$|2.74 billion|link|=|yes}} (2024),,{{decrease}} {{US$|5 million}} (2024),,{{decrease}} {{US$|139 million}} (2024),,{{increase}} {{US$|9.26 billion}} (2024),,{{increase}} {{US$|7.55 billion}} (2024),,,{{Start date and age|1987}},"[[Arlington, Virginia]], U.S.",,,"6,593 (2025)",{{URL|costargroup.com}},,CoStar Group,,,,Andrew Florance,,,,,"{{Plainlist|
* [[Apartments.com]]
* [[Homes.com]]
* [[LoopNet]]
* [[Matterport]]
* [[STR, Inc.|STR]]}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costco Wholesale Corporation,Costco Wholesale logo 2010-10-26.svg,Costcoheadquarters.jpg,,"Building 1 at Costco's headquarters campus in [[Issaquah]], Washington",,,[[Public company]],{{ubl|NASDAQ|COST|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|COST}},[[Retail]],"North America: {{bulleted list|United States|Canada|Mexico}} Rest of the world: {{bulleted list
  | Australia
  | China
  | France
  | Iceland
  | Japan
  | New Zealand
  | South Korea
  | Spain
  | Sweden
  | Taiwan
  | United Kingdom}}",{{ubl|[[Hamilton E. James]]|([[chairman]])|[[Ron Vachris]]|([[President (corporate title)|president]] and [[CEO]])}},,{{ubl|[[Merchandise]]|[[Cash & carry]]|[[Warehouse club]]|[[Gas station]]s}},{{increase}} {{US$|275.2}} {{nbsp}} billion,2025,{{increase}} {{US$|10.4}} {{nbsp}} billion,2025,{{increase}} {{US$|8.1}} {{nbsp}} billion,2025,{{increase}} {{US$|77.1}} {{nbsp}} billion,2025,{{increase}} {{US$|29.2}} {{nbsp}} billion,2025,{{ubl|[[James Sinegal]]|[[Jeffrey Brotman]]}},,,,,"{{increase}} 341,000",{{URL|https://www.costco.com/|costco.com}},,Costco,,,,,Kirkland Signature,260px,250px,,,,{{Start date and age|1983|09|15}} in [[Seattle]],,2025,,,,Logo since 1997,918,2025,,,,,,"[[Issaquah]], Washington",United States,,,{{increase}} 145.2 {{nbsp}} million,2025,,,,,,,
"CrowdStrike Holdings, Inc.",CrowdStrike logo.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|CRWD| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|CRWD}} (Class A),[[Information security]],,"{{ubl|George Kurtz ([[Chief executive officer|CEO]])|Michael Sentonas (President)|ref| name=""afr-sentonas-pres-21-mar-2024""|{{cite news |last1=Richardson |first1=Tom |title=CrowdStrike's Australian boss snares $225m cybersecurity fortune |url=https://www.afr.com/markets/equity-markets/crowdstrike-s-australian-boss-snares-225m-cybersecurity-fortune-20240326-p5ff9c |access-date=21 July 2024 |work=Australian Financial Review |date=31 March 2024 |language=en |archive-date=20 July 2024 |archive-url=https://web.archive.org/web/20240720173734/https://www.afr.com/markets/equity-markets/crowdstrike-s-australian-boss-snares-225m-cybersecurity-fortune-20240326-p5ff9c |url-status=live }}|</ref>}}",,,{{increase}} {{US$|3.95 billion|link|=|yes}},FY25,{{increasenegative}} US$−120.4 million,FY25,{{increasenegative}} US$-19.27 million,FY25,{{increase}} US$8.7 billion,FY25,{{increase}} US$3.28 billion,FY25,{{ubl|[[George Kurtz]]|[[Dmitri Alperovitch]]|Gregg Marston}},{{Start date and age|2011}},,"[[Austin, Texas]]",United States,"10,118",{{Official URL}},Financials {{as of|2025|1|31|df|=|US|pre|=|fiscal year ended|lc|=|y}} .<br />References:,CrowdStrike,,,,,,,,,,,,,FY25,,,,,,,,,,,,,,,,,,,,,,,,
CSX Corporation,CSX_transp_logo.svg,CSXJAX15.JPG,,"The [[CSX Transportation Building]], the company's headquarters in [[Jacksonville, Florida]].",,,[[Public company|Public]],{{Unbulleted list|NASDAQ|CSX|[[Nasdaq-100]] component|[[Dow Jones Transportation Average|DJTA]] component|[[S&P 500]] component}} {{NASDAQ|CSX}},"Transport, real estate, technology",[[North America]],"{{Unbulleted list|John J. Zillmer ([[chairman]])|ref|Yahoo News, CSX Press Release, Steve Angel Appointed President and CEO of CSX' September 15, 2023 https://www.yahoo.com/now/joseph-r-hinrichs-appointed-president-110000569.html|</ref>| [[Steve Angel]] ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])|ref|{{cite web |last=Eavis |first=Peter |title=Rail Operator CSX Ousts Chief Executive After Activist Pressure |website=The New York Times |date=2025-09-29 |url=https://www.nytimes.com/2025/09/29/business/csx-ousts-chief-executive.html |access-date=2025-09-30 |language=en-US}}|</ref>}}",,Railroad Transport,{{nowrap|decrease| |US$|14.5&nbsp;billion|link|=|yes| (2024)}} {{decrease}} {{US$|14.5&nbsp;billion|link|=|yes}} (2024),,{{decrease}} US$5.25&nbsp;billion (2024),,{{decrease}} US$3.47&nbsp;billion (2024),,{{increase}} US$42.8&nbsp;billion (2024),,{{decrease}} US$12.5&nbsp;billion (2024),,,{{Start date and age|1980|11|1}},[[CSX Transportation Building]],"[[Jacksonville, Florida]]",U.S.,"23,500 (2024)",{{url|csx.com}},,CSX Corporation,,,,,,150,250,,{{ubl|[[CSX Transportation]]|[[Pan Am Railways]]|[[Fruit Growers Express]]|[[Conrail Shared Assets Operations|Conrail]]}},,,,,,,,,,,,,,{{Unbulleted list|[[Chessie System]]|[[Seaboard Coast Line Industries]]}},,,,,,,,,,,,,,
"Datadog, Inc.",Datadog logo.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|DDOG| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|DDOG}} (Class A),[[Software industry|Software]],Worldwide,{{ubl|Olivier Pomel ([[Chief executive officer|CEO]])|Alexis Lê-Quôc ([[Chief technology officer|CTO]])}},Datadog,[[Event monitoring|System monitoring]],{{increase}} {{US$|2.68&nbsp;billion|link|=|yes}} (2024),,{{increase}} {{US$|54&nbsp;million}} (2024),,{{increase}} {{US$|184&nbsp;million}} (2023),,{{increase}} {{US$|5.79&nbsp;billion}} (2024),,{{increase}} {{US$|2.71&nbsp;billion}} (2024),,{{ubl|Olivier Pomel|Alexis Lê-Quôc}},{{Start date and age|2010}} in New York City,"{{nowrap|[[New York City]], U.S.}}",,,"6,500 (2024)",{{url|https://www.datadoghq.com/|datadoghq.com}},,Datadog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dexcom, Inc.",Dexcom logo.svg {{!}} class=skin-invert-image,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|DXCM|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|DXCM}},,,"Kevin Sayer ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])",[[Medical devices]],,{{increase}} {{US$|4.03 billion|link|=|yes}} (2024),,{{increase}} {{US$|600 million}} (2024),,{{increase}} {{US$|576 million}} (2024),,{{increase}} {{US$|6.48 billion}} (2024),,{{increase}} {{US$|2.10 billion}} (2024),,,,,,,"10,300 (2024)",{{URL|dexcom.com}},,DexCom,,,,,,,,"{{nowrap|[[San Diego, California]], U.S.}}",,,{{start date and age|1999}},,,,,,,,,,,,,,,,,,,,,,,,,,
"Diamondback Energy, Inc.","File:Diamondback_Energy,_Logo_2022.svg",,,,,,[[Public company|Public]],{{ubl|NASDAQ|FANG|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|FANG}},[[Petroleum industry]],,[[Kaes Van't Hof]] ([[chairman and CEO]]),{{ubl|[[Petroleum]]|[[Natural gas]]|[[Natural gas liquids]]}},,{{increase}} {{US$|$11.07&nbsp;billion|link|=|yes}} (2024),,{{increase}} US$4.396&nbsp;billion (2024),,{{increase}} US$3.338&nbsp;billion (2024),,{{increase}} US$67.29&nbsp;billion (2024),,{{increase}} US$37.74&nbsp;billion (2024),,,{{Start date and age |2007}},,"[[Midland, Texas]]",[[United States]],"1,983 (2024)",{{URL|https://www.diamondbackenergy.com/}},,Diamondback Energy,,,,,,,,,,,,,,,{{ISIN|sl|=|n|pl|=|y|US25278X1090}},,,,,,,,,,,,,,,,{{convert|598|e3BOE|lk|=|in}} per day (2024),,,,,,
"DoorDash, Inc.",DoorDash Logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|DASH| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|DASH}} (Class A),[[Online food ordering]],{{Unbulleted list|[[Australia]]|[[Canada]]|[[New Zealand]]|[[United States]]| +41 countries via [[Deliveroo]] and [[Wolt]]}},{{Ubl|Tony Xu ([[chairman]] & [[Chief executive officer|CEO]])|Prabir Adarkar ([[President (corporate title)|president]] & [[Chief operating officer|COO]])|Ravi Inukonda ([[Chief financial officer|CFO]])}},,[[Food delivery]],{{increase}} {{US$|10.7 billion|link|=|yes}} (2024),,{{increasenegative}} − {{US$|38 million}} (2024),,{{increase}} {{US$|123 million}} (2024),,{{increase}} {{US$|12.8 billion}} (2024),,{{increase}} {{US$|7.80 billion}} (2024),,{{Ubl|[[Tony Xu]]|[[Andy Fang]]|[[Stanley Tang]]|Evan Moore}},"{{start date and age|2013|01}} in [[Palo Alto, California]]",,"[[San Francisco]], California","United States<br/> {{Coord|37.7856|-122.3958|type:landmark_globe:earth_region:US-CA|display|=|title,inline}}","23,700 (2024)",{{URL|https://doordash.com}},,DoorDash,,,,,{{Unbulleted list|Caviar|Chowbotics}},,,,{{Unbulleted list|[[Deliveroo]]|[[Wolt]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronic Arts Inc.,Electronic Arts Logo Blue.svg,Electronic Arts Redwood City May 2011.jpg,,"The EA headquarters building at Redwood City, California, in May 2011",,,[[Public company|Public]],{{Unbulleted list|NASDAQ|EA|[[Nasdaq-100]] component|[[List of S&P 500 companies|S&P 500]] component}} {{NASDAQ|EA}},[[Video game industry|Video games]],Worldwide,"{{Unbulleted list
| [[Andrew Wilson (businessman)|Andrew Wilson]] |nowrap|([[CEO]] and [[chairman]])|
| [[Laura Miele]] |nowrap|([[President (corporate title)|president]] of EA Entertainment)|
| Cam Weber |nowrap|(president of [[EA Sports]])|}} {{nowrap|([[CEO]] and [[chairman]])}} {{nowrap|([[President (corporate title)|president]] of EA Entertainment)}} {{nowrap|(president of [[EA Sports]])}}",See [[list of Electronic Arts games]],,{{decrease}} {{US$|7.46&nbsp;billion|link|=|yes}},2025,{{increase}} US$1.52&nbsp;billion,2025,{{decrease}} US$1.12&nbsp;billion,2025,{{decrease}} US$12.4&nbsp;billion,2025,{{decrease}} US$6.39&nbsp;billion,2025,,"{{Start date and age|1982|05|27}} in [[San Mateo, California]], US",,"[[Redwood City, California]]",US,"{{circa|14,500}}",{{URL|https://www.ea.com/|ea.com}},Financials {{as of|2025|03|31|lc|=|y|df|=|US}} .,Electronic Arts,,,,[[Trip Hawkins]],,,,,See {{section link|Company structure}},,,,2025,,,,,,,,,,,,,,{{Unbulleted list|EA Entertainment|[[EA Sports]]}},,,,,,,,,,
Exelon Corporation,Exelon Logo.svg,[[File:Chase Tower in Chicago.jpg|250px]],,Exelon's headquarters in [[Chase Tower (Chicago)|Chase Tower]],,,[[Public company|Public]],{{Ubl|NASDAQ|EXC|[[DJUA]] component|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|EXC}},[[Public utility]],,Calvin Butler<br />([[President (corporate title)|president]] and [[CEO]]),{{Unbulleted list|[[Electrical power]]|[[Natural gas]]}},Electricity and natural gas distribution,{{increase}} {{US$|23.03 billion|link|=|yes}} (2024),,{{increase}} US$4.319 billion (2024),,{{increase}} US$2.460 billion (2024),,{{nowrap|increase| US$107.8 billion (2024)}} {{increase}} US$107.8 billion (2024),,{{increase}} US$26.92 billion (2024),,,{{Start date and age|2000|10|20}} ; by merger,,"[[Chase Tower (Chicago)|Chase Tower]]<br>[[Chicago]], Illinois",U.S.,"20,014 (2024)",{{Official URL}},,Exelon,,,,,,,,,{{Ubl|class|=|nowrap|[[Atlantic City Electric]]|[[Baltimore Gas and Electric]]|[[Commonwealth Edison]]|[[Delmarva Power]]|[[PECO Energy Company]]|[[Pepco]]}},,,{{Ubl|[[PECO Energy Company]] | [[Unicom Corp]]}},,,,,,,,,,,,,,,,,,,,,,,,,
Fastenal Company,[[File:Fastenal logo.svg|frameless|class=skin-invert-image]],Fastenal-6.jpg,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|FAST|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|FAST}},,{{ubl|[[United States]]|[[Canada]]|[[Europe]]|[[Asia]]}},{{ubl|class|=|nowrap|Daniel L. Florness ([[Chief executive officer|CEO]])|Holden Lewis ([[Chief financial officer|CFO]])}},,,{{increase}} {{US$|7.5 billion|link|=|yes}} (2024),,{{decrease}} {{US$|1.5 billion}} (2024),,{{decrease}} {{US$|1.1 billion}} (2024),,{{increase}} {{US$|4.7 billion}} (2024),,{{increase}} {{US$|3.6 billion}} (2024),,,{{Start date and age|1967}},,"[[Winona, Minnesota]]",U.S.,"23,702 (2024)",{{URL|https://fastenal.com}},,Fastenal,,,,[[Bob Kierlin]],,,260px,,,,,,,,,,,,,,,,,,,,,"3,628 (2024)",,,,,,,,,
"Fortinet, Inc.",Fortinet logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|FTNT|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|FTNT}},{{ubl|[[Cloud Security]]|[[Cybersecurity]]|[[Network Security]]}},,{{ubl|Ken Xie ([[Chief executive officer|CEO]])|Michael Xie ([[Chief technology officer|CTO]])|Keith Jensen ([[Chief financial officer|CFO]])}},{{Hlist|Fortinet Security Fabric |FortiGate NGFW |FortiGate enterprise |FortiGate carrier |FortiSwitch |FortiAP |FortiWeb |FortiSIEM |FortiSandbox |FortiClient |FortiManager |FortiAnalyzer |FortiEDR |FortiAuthenticator |FortiDeceptor |FortiNAC |FortiGate VM |FortiPAM |FortiCamera |FortiVoice |FortiMail |FortiSOAR |FortiADC |FortiCASB |FortiDDoS |FortiToken|FortiDLP}},{{ubl|[[Next-Generation Firewall|Next generation firewalls]] |[[Antivirus programs]] |[[Intrusion-prevention system]] |[[Antispyware]] |[[Antispam]] |[[VPN]] |[[Wireless security]] |[[Application firewall|Application control]] |[[Content-control software|Web filtering]] |[[Security information and event management]]}},{{increase}} {{US$|5.96&nbsp;billion|link|=|yes}} (2024),,{{increase}} US$1.80&nbsp;billion (2024),,{{increase}} US$1.75&nbsp;billion (2024),,{{increase}} US$9.76&nbsp;billion (2024),,{{increase}} US$1.49&nbsp;billion (2024),,{{ubl|[[Ken Xie]]|Michael Xie}},{{Start date and age|2000}},,"[[Sunnyvale, California]]",U.S.,"14,138 (2024)",{{url|fortinet.com}},,Fortinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE Healthcare Technologies, Inc.",[[File:GE HealthCare logo 2023.svg|frameless|upright=1.2|class=skin-invert]],Heller International building Chicago.jpg,1.0,Headquarters at [[Heller International Building]] in [[Chicago]],,,[[Public company|Public]],{{ubl|NASDAQ|GEHC|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|GEHC}},[[Healthcare industry|Healthcare]],Worldwide,{{ubl|Peter Arduini ([[Chief executive officer|CEO]])|[[H. Lawrence Culp Jr.]] ([[chairman]])}},,,{{increase}} {{US$|19.7 billion|link|=|yes}} (2024),,{{increase}} {{US$|2.63 billion}} (2024),,{{increase}} {{US$|1.99 billion}} (2024),,{{increase}} {{US$|33.1 billion}} (2024),,{{increase}} {{US$|8.45 billion}} (2024),,,{{ubl|Start date and age|1994|09|28| (as a subsidiary)|Start date and age|2022|05|16| (formation of corporate entity)|Start date and age|2023|01|04| (spin-off from GE)}} {{Start date and age|1994|09|28}} (as a subsidiary) {{Start date and age|2022|05|16}} (formation of corporate entity) {{Start date and age|2023|01|04}} (spin-off from GE),[[Heller International Building]],"[[Chicago]], Illinois",United States,"{{circa|53,000}} (2024)",{{URL|https://www.gehealthcare.com/|gehealthcare.com}},,GE HealthCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilead Sciences, Inc.",File:Gilead Sciences Logo.svg,333 Lakeside Drive.jpg,,Headquarters in Foster City,,,[[Public company|Public]],{{unbulleted list|NASDAQ|GILD|[[NASDAQ Biotechnology Index|Nasdaq Biotechnology component]]|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|GILD}},{{ubl|[[Pharmaceutics]]|[[Biotechnology]]}},Worldwide,"{{unbulleted list|
                       | Daniel O'Day ([[chairman and CEO]])
                       | Andrew Dickinson ([[Chief financial officer|CFO]])
                       | [[Tomáš Cihlář]] ([[Vice president#In business|vice president]], and senior director, Biology)}}","{{flatlist|
* [[AmBisome]]
* [[Atripla]]
* [[Biktarvy]]
* [[Complera]]
* [[Cayston]]
* [[Descovy]]
* [[Emtriva]]
* [[Epclusa]]
* [[Genvoya]]
* [[Harvoni]]
* [[Hepsera]]
* [[Letairis]]
* [[Lexiscan]]
* [[Macugen]]
* [[Odefsey]]
* [[Ranexa]]
* [[Sovaldi]]
* [[Stribild]]
* [[Tamiflu]]
* [[Truvada]]
* [[Tybost]]
* [[Veklury]]
* [[Vemlidy]]
* [[Viread]]
* [[Vosevi]]
* [[Yescarta]]
* [[Zydelig]]}}",,{{increase}} {{US$|28.75&nbsp;billion|link|=|yes}},2024,{{decrease}} {{US$|1.662&nbsp;billion}},2024,{{decrease}} {{US$|480&nbsp;million}},2024,{{decrease}} {{US$|58.99&nbsp;billion}},2024,{{decrease}} {{US$|19.25&nbsp;billion}},2024,,{{start date and age|1987|6|22}},"[[Foster City, California]], United States",,,"17,600",{{URL|gilead.com}},,Gilead Sciences,,,,Michael L. Riordan,,250px,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,
GlobalFoundries Inc.,,,,,,,[[Public company|Public]] ([[subsidiary]]),{{ubl|NASDAQ|GFS|[[Nasdaq-100]] component}} {{NASDAQ|GFS}},[[Semiconductors]],,{{ubl|Dr. Thomas Caulfield ([[chairman]]) |Tim Breen ([[Chief executive officer|CEO]])}},,Semiconductor manufacturer,{{decrease}} {{US$|6.75&nbsp;billion|link|=|yes}} (2024),,{{decrease}} {{US$|-214&nbsp;million}} (2024),,{{decrease}} {{US$|-262&nbsp;million}} (2024),,{{decrease}} {{US$|16.8&nbsp;billion}} (2024),,{{decrease}} {{US$|10.8&nbsp;billion}} (2024),,,{{Start date and age|2009|03|02}} (as a spin-off of [[AMD]]),,,,"13,000 (2025)",{{URL|https://gf.com/}},,GlobalFoundries,GlobalFoundries Inc.,,,,,,,"[[Malta, New York]], U.S.",,[[Mubadala]] (82%),,,,,{{ISIN|sl|=|n|pl|=|y|KYG393871085}},1.25,,,,,,,,,,,,,,,,,,,,,
Honeywell International Inc.,Honeywell logo.svg,Honeywell-charlotte-hq-1.jpg,,"[[Headquarters]] in [[Charlotte, North Carolina]]",,,[[Public company|Public]],{{ubl|NASDAQ|HON|[[Nasdaq-100]] component|[[DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|HON}},[[Conglomerate (company)|Conglomerate]],Worldwide,{{Unbulleted list|[[Darius Adamczyk]] ([[chairman]])|[[Vimal Kapur]] ([[Chief executive officer|CEO]])}},,,{{increase}} {{US$|38.5 billion|link|=|yes}} (2024),,{{increase}} {{US$|7.44 billion}} (2024),,{{increase}} {{US$|5.71 billion}} (2024),,{{increase}} {{US$|75.2 billion}} (2024),,{{increase}} {{US$|18.6 billion}} (2024),,,"{{start date and age|1906}} in [[Wabash, Indiana]], U.S.","{{nowrap|[[Charlotte, North Carolina]], U.S.}}",,,"102,000 (2024)",{{official URL}},,Honeywell,,,,[[Mark C. Honeywell]] (for the Honeywell Inc. line),,,,,{{Ubl|[[Honeywell Aerospace]]|Honeywell Automation India|[[Intermec]]|[[RAE Systems]]|[[Honeywell UOP]]|[[Tridium]]}},,,{{ubl|Honeywell Inc.|[[AlliedSignal]] Inc.}},,,,,,,,,,,,,,,,,,,,,,,,,
"IDEXX Laboratories, Inc.",Image:IDEXX Labs.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|IDXX|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|IDXX}},[[Healthcare]],,{{ubl|Jay Mazelsky ([[Chief executive officer|CEO]])|Lawrence Kingsley ([[chairman]])}},,,{{nowrap|increase| |US$|3.90&nbsp;billion|link|=|yes| (2024)}} {{increase}} {{US$|3.90&nbsp;billion|link|=|yes}} (2024),,{{increase}} {{US$|1.13&nbsp;billion}} (2024),,{{increase}} {{US$|888&nbsp;million}} (2024),,{{increase}} {{US$|3.29&nbsp;billion}} (2024),,{{increase}} {{US$|1.59&nbsp;billion}} (2024),,,{{Start date and age|1983}},,,,"{{circa|11,000}} (2024)",{{URL|https://idexx.com/}},,Idexx Laboratories,,,,David Evans Shaw,,,,,,,,,,,,,,,,,,,,,"[[Westbrook, Maine]]",U.S.,,,,,,,,,,,
Intel Corporation,Intel logo 2023.svg,Intel Headquarters in 2023.jpg,1.1,"Headquarters in [[Santa Clara, California]], in 2023",,NM Electronics (1968),[[Public company|Public]],{{unbulleted list|NASDAQ|INTC|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} [[DJIA]] component (1999-2024) {{NASDAQ|INTC}},[[Semiconductor industry|Semiconductors]],Worldwide,"{{plainlist|
* [[Lip-Bu Tan]] ([[CEO]])
* Frank D. Yeary ([[chairman]])
* David Zinsner ([[CFO]])
* MJ Holthaus (|nobr|co-CEO| - products)}} {{nobr|co-CEO}} - products)",,,{{Decrease}} {{US$|53.1 billion}} (2024),,{{Decrease}} {{US$|-11.7 billion}} (2024),,{{Decrease}} {{US$|-19.2 billion}} (2024),,{{Increase}} {{US$|196.5 billion}} (2024),,{{Decrease}} {{US$|105 billion}} (2024),,{{ubl|[[Gordon Moore]]|[[Robert Noyce]]}},{{start date and age|1968|7|18}},,"Santa Clara, California","U.S.<br/> {{Coord|37|23|16|N|121|57|49|W|type:landmarkregion:US-CA|display|=|title,inline}}","83,300",{{URL|https://www.intel.com/|intel.com}},,Intel,,,Intel,,,,,,"{{Plainlist|
* [[Mobileye]] (94.2%)
* [[Intel Ireland]]}}",,,,2025,,,1.0,[[Intel logo]] since 2020,,,,,,,,,,,,,,,,,,,,
Intuit Inc.,File:Intuit-logo-super-blue (1).png,2700coastavenue.jpg,,Headquarters in Mountain View,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|INTU|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|INTU}},[[Enterprise software]],,{{ubl|class|=|nowrap|Sasan Goodarzi ([[Chief executive officer|CEO]])|[[Suzanne Nora Johnson]] ([[chair (officer)|chair]])}},{{ubl|[[Credit Karma]]|[[Mailchimp]]|[[QuickBooks]]|[[TurboTax]]|[[ProConnect]]}},{{ubl|[[Personal finance]]|[[Accounting software]]|[[Tax return (United States)|Tax return]] software}},{{nowrap|increase| |US$|link|=|yes|18.8&nbsp;billion (2025)}} {{increase}} {{US$|link|=|yes}} 18.8&nbsp;billion (2025),,{{nowrap|increase| |US$|4.92&nbsp;billion (2025)}} {{increase}} {{US$}} 4.92&nbsp;billion (2025),,{{nowrap|increase| |US$|3.87&nbsp;billion (2025)}} {{increase}} {{US$}} 3.87&nbsp;billion (2025),,{{nowrap|increase| |US$|36.9&nbsp;billion (2025)}} {{increase}} {{US$}} 36.9&nbsp;billion (2025),,{{nowrap|increase| |US$|19.7&nbsp;billion (2025)}} {{increase}} {{US$}} 19.7&nbsp;billion (2025),,{{ubl|class|=|nowrap|[[Scott Cook]]|[[Tom Proulx]]}},"{{Start date and age|1983}} , in {{nowrap|[[Palo Alto, California]], U.S.}}","{{nowrap|[[Mountain View, California]], U.S.}} <br/> {{Coord|37|25|38|N|122|5|47|W|type:landmark_region:US-CA|display|=|title,inline}}",,,"18,200",{{url|intuit.com}},Financials {{as of|2025|07|31|lc|=|y|df|=|US}} .,Intuit,,,,,,,250px,,,,,,2025,,{{ISIN|sl|=|n|pl|=|y|US4612021034}},,,,,,,,,,,,,,,,,,,,,,
"Intuitive Surgical, Inc.",Intuitive Surgical logo.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|ISRG|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|ISRG}},Medical Appliances & Equipment,,{{unbulleted list|Gary S. Guthart ([[chairman]])|Dave Rosa ([[chief executive officer|CEO]])|[[Craig Barratt]] ([[Board Member]])}},[[da Vinci Surgical System|''da Vinci'' Surgical System]],,{{increase}} {{US$|8.35 billion|link|=|yes}} (2024),,{{increase}} {{US$|2.35 billion}} (2024),,{{increase}} {{US$|2.34 billion}} (2024),,{{increase}} {{US$|18.7 billion}} (2024),,{{increase}} {{US$|16.5 billion}} (2024),,,{{Start date and age|1995}},"[[Sunnyvale, California]], U.S.",,,"15,638",{{url|intuitive.com}},,Intuitive Surgical,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,
