name,logo,logo_size,image,image_size,image_caption,former_name,type,traded_as,ISIN,industry,foundation,founders,location_city,location_country,area_served,key_people,revenue,operating_income,net_income,assets,equity,num_employees,website,_company_name,founder,products,num_employees_year,divisions,founded,hq_location_city,hq_location_country,locations,hq_location,location,logo_caption,alt,subsid,predecessor,num_locations,image_upright,trading_name,services,revenue_year,income_year,net_income_year,assets_year,equity_year,footnotes,logo_alt,image_alt,trade_name,brands,native_name_lang,predecessors,owner,module,homepage,parent,aum,former_names,logo_upright,production,num_locations_year,owners,areas_served,members,members_year,ratio,airline,caption,IATA,ICAO,callsign,aoc,hubs,focus_cities,frequent_flyer,alliance,fleet_size,destinations,commenced,subsidiaries,headquarters,genre,suppressfields,logo_class,profit,company_type,CEO,chairman,rating,defunct,fate,successor,production_year,screenshot,collapsible,collapsetext,language,language_count,country_of_origin,url,commercial,registration,num_users,launch_date,current_status,railroad_name,system_map,map_caption,marks,locale,start_year,end_year,gauge,length,hq_city,bases,notes
"Interactive Brokers Group, Inc.",Interactive Brokers Logo (2014).svg,,One Pickwick Plaza.jpg,,Headquarters at One Pickwick Plaza,,[[Public company|Public]],{{Unbulleted list|NASDAQ|IBKR|[[S&P 500]] component}} {{NASDAQ|IBKR}},,[[Financial services]],,,,,Worldwide,{{unbulleted list|Thomas Peterffy ([[chairman]])|Milan Galik (President & [[Chief executive officer|CEO]])}},{{Increase}} {{US$|5.185&nbsp;billion|link|=|yes}} (2024),{{Increase}} {{US$|3.695}} &nbsp;billion (2024),{{Increase}} {{US$|3.407}} &nbsp;billion (2024),{{Increase}} {{US$|150.1}} &nbsp;billion (2024),{{Increase}} {{US$|4.280}} &nbsp;billion (2024),"2,998 (2024)",{{URL|interactivebrokers.com}},Interactive Brokers,[[Thomas Peterffy]],"[[Direct market access]] to [[stock]]s, [[Option (finance)|option]]s, [[Futures contract|future]]s, [[forex]], [[Bond (finance)|bond]]s, and [[Exchange-traded fund|ETF]]s",,,"{{start date and age|1978}} , in [[New York City]], U.S.","[[Greenwich, Connecticut]]",U.S.,28 (2024),,,,,,,,,,"[[Online brokerage]], [[direct-access trading]]",,,,,,,,Office of Interactive Brokers in Greenwich,,,,,"IBG Holdings LLC (74.2%), an affiliate of [[Thomas Peterffy]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intercontinental Exchange, Inc.",[[File:Intercontinental Exchange logo.svg|frameless|class=skin-invert]],150,,,,,[[Public company|Public]],{{ubl|NYSE|ICE|[[S&P 500]] component}} {{NYSE|ICE}},{{ISIN|sl|=|n|pl|=|y|US45866F1049}},{{unbulleted list|class|=|nowrap|[[Service (economics)|Business services]]|[[Financial services]]|[[Financial market]]s|[[Technology]]}},,,,,,"{{ubl|Jeffrey Sprecher ([[Chairperson|chair]] and [[Chief executive officer|CEO]])|George Markus Loturco (President)|Warren Gardiner ([[Chief financial officer|CFO]])|[[Lynn Martin (banker)|Lynn Martin]] ([[President (corporate title)|president]], NYSE Group)}}","{{increase}} {{US$|9.279 [[1,000,000,000|billion]]|link|=|yes}} (2024)",{{increase}} {{US$|4.309 billion}} (2024),{{increase}} {{US$|2.754 billion}} (2024),{{increase}} {{US$|139.4 billion}} (2024),{{increase}} {{US$|27.7 billion}} (2024),"12,920 (2024)",{{URL|ice.com}},Intercontinental Exchange,[[Jeffrey Sprecher]],{{unbulleted list|class|=|nowrap|[[Clearing (finance)|Clearing]]|[[Listing (finance)|Exchange Listing]]|[[Financial data vendor|Financial Data]]|[[Ellie Mae|Mortgage Technology]]}},,,{{Start date and age|2000|05|11}},"[[Atlanta, Georgia]]",U.S.,,,,,,{{nowrap|[[New York Stock Exchange]]}},,,,,,,,,,,Financials {{as of|2024|12|31|lc|=|y|df|=|US}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Flavors & Fragrances Inc.,IFF Company Logo.png,250px,,200px,Corporate headquarters on [[57th Street (Manhattan)|57th Street]],,[[Public company|Public]],{{Unbulleted list|NYSE|IFF|[[S&P 500]] component| |TASE|IFF|[[TA-125 Index|TA-125 component]]}} {{NYSE|IFF}} {{TASE|IFF}},,{{Unbulleted list|[[Specialty chemicals]]|[[Research and development]]}},,,,,Worldwide,"{{Unbulleted list|Erik Fyrwald ([[Chief executive officer|CEO]])|[[Roger W. Ferguson, Jr.]] ([[chairman]])}}",{{increase}} {{US$|11.5&nbsp;billion|link|=|yes}},{{increase}} {{US$|766&nbsp;million}},{{increase}} {{US$|243&nbsp;million}},{{decrease}} {{US$|28.7&nbsp;billion}},{{decrease}} {{US$|13.9&nbsp;billion}},"22,400",{{URL|https://iff.com/}},International Flavors & Fragrances,,[[Flavor industry|Flavoring]] and [[Aroma compound|fragrances]],2024,,{{start date and age|1889}},New York City,United States,,,,IFF Logo,,,,"150 manufacturing facilities, creative centers, and application labs",,,,2024,2024,2024,2024,2024,,IFF's Logo,,IFF,,,,,,,,,,,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Paper Company,InternationalPaper logo 2023.svg,,"International Paper Co., Cullen, LA IMG 5138.JPG",,,,[[Public company|Public]],{{ubl|NYSE|IP|[[S&P 500]] component}} [[DJIA]] component (until 2004) {{NYSE|IP}},,[[Pulp and paper industry|Pulp and paper]],"{{start date and age|1898}} in [[Corinth, New York]], United States","{{Plainlist|
*[[Hugh J. Chisholm]]
*[[William A. Russell (Massachusetts politician)|William A. Russell]]}}",,,Worldwide,Andrew Silvernail ([[CEO]]),{{decrease}} {{US$|18.6&nbsp;billion|link|=|yes}} (2024),{{decrease}} {{US$|255&nbsp;million}} (2024),{{increase}} {{US$|557&nbsp;million}} (2024),{{decrease}} {{US$|22.8&nbsp;billion}} (2024),{{decrease}} {{US$|8.17&nbsp;billion}} (2024),"37,000 (2024)",,International Paper,,,,,,,,,,"[[Memphis, Tennessee]], United States",,,"[[Temple-Inland]], CMCP, Cartón y Papel Reciclado S.A., Cartonajes Union S.L., ZAO, Weldwood of Canada, Castell, L.P., Sustainable Forests, Bolsaflex",,,,,,,,,,,,,,,,,,,,{{URL|internationalpaper.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intuit Inc.,File:Intuit-logo-super-blue (1).png,,2700coastavenue.jpg,250px,Headquarters in Mountain View,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|INTU|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|INTU}},{{ISIN|sl|=|n|pl|=|y|US4612021034}},[[Enterprise software]],,{{ubl|class|=|nowrap|[[Scott Cook]]|[[Tom Proulx]]}},,,,{{ubl|class|=|nowrap|Sasan Goodarzi ([[Chief executive officer|CEO]])|[[Suzanne Nora Johnson]] ([[chair (officer)|chair]])}},{{nowrap|increase| |US$|link|=|yes|18.8&nbsp;billion (2025)}} {{increase}} {{US$|link|=|yes}} 18.8&nbsp;billion (2025),{{nowrap|increase| |US$|4.92&nbsp;billion (2025)}} {{increase}} {{US$}} 4.92&nbsp;billion (2025),{{nowrap|increase| |US$|3.87&nbsp;billion (2025)}} {{increase}} {{US$}} 3.87&nbsp;billion (2025),{{nowrap|increase| |US$|36.9&nbsp;billion (2025)}} {{increase}} {{US$}} 36.9&nbsp;billion (2025),{{nowrap|increase| |US$|19.7&nbsp;billion (2025)}} {{increase}} {{US$}} 19.7&nbsp;billion (2025),"18,200",{{url|intuit.com}},Intuit,,{{ubl|[[Credit Karma]]|[[Mailchimp]]|[[QuickBooks]]|[[TurboTax]]|[[ProConnect]]}},2025,,"{{Start date and age|1983}} , in {{nowrap|[[Palo Alto, California]], U.S.}}",,,,"{{nowrap|[[Mountain View, California]], U.S.}} <br/> {{Coord|37|25|38|N|122|5|47|W|type:landmark_region:US-CA|display|=|title,inline}}",,,,,,,,,{{ubl|[[Personal finance]]|[[Accounting software]]|[[Tax return (United States)|Tax return]] software}},,,,,,Financials {{as of|2025|07|31|lc|=|y|df|=|US}} .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intuitive Surgical, Inc.",Intuitive Surgical logo.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|ISRG|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|ISRG}},,Medical Appliances & Equipment,,,,,,{{unbulleted list|Gary S. Guthart ([[chairman]])|Dave Rosa ([[chief executive officer|CEO]])|[[Craig Barratt]] ([[Board Member]])}},{{increase}} {{US$|8.35 billion|link|=|yes}} (2024),{{increase}} {{US$|2.35 billion}} (2024),{{increase}} {{US$|2.34 billion}} (2024),{{increase}} {{US$|18.7 billion}} (2024),{{increase}} {{US$|16.5 billion}} (2024),"15,638",{{url|intuitive.com}},Intuitive Surgical,,[[da Vinci Surgical System|''da Vinci'' Surgical System]],2024,,{{Start date and age|1995}},,,,"[[Sunnyvale, California]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invesco Ltd.,Invesco Logo.svg,,,,,,[[Public company|Public]],"{{ubl|NYSE|IVZ|[[S&P 500]] component}} [[London Stock Exchange|LSE]]: IVZ (until 2007)

[[FTSE 100]] component (until 2007) {{NYSE|IVZ}}",{{ISIN|sl|=|n|pl|=|y|BMG491BT1088}},[[Investment management]],{{Start date and age|1978}},,,,,{{Unbulleted list|[[Rick Wagoner]] ([[chairman]])|[[Andrew Schlossberg]] (CEO)}},{{nowrap|increase| |US$|6.067&nbsp;billion|link|=|yes| (2024)}} {{increase}} {{US$|6.067&nbsp;billion|link|=|yes}} (2024),{{increase}} {{US$|832&nbsp;million}} (2024),{{increase}} {{US$|538&nbsp;million}} (2024),{{decrease}} {{US$|27.01&nbsp;billion}} (2024),{{decrease}} {{US$|14.56&nbsp;billion}} (2024),"8,508 (2024)",,Invesco,Charles W. Brady,{{ubl|[[Asset management]]|[[Wealth management]]|[[Alternative investment]]}},,,,,,,,"[[Atlanta, Georgia]], U.S.",,,{{ubl|[[Invesco Perpetual]]|[[Invesco PowerShares]]}},,,,,,,,,,,,,,,,,,,,{{URL|invesco.com}},,{{increase}} {{US$|1.846&nbsp;trillion}} (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invitation Homes Inc.,File:Invitation Homes logo.svg,,,,,,[[Public company]],{{ubl|NYSE|INVH|[[S&P 500]] component}} {{NYSE|INVH}},,[[Real estate investment trust]],,{{ubl|Dallas B. Tanner|Brad Greiwe}},,,,"{{ubl|Dallas B. Tanner ([[CEO]]), Charles Young ([[President/COO]]), Jon Olsen([[CFO]])}}",{{nowrap|increase| |US$|1.997 billion|link|=|yes| (2021)}} {{increase}} {{US$|1.997 billion|link|=|yes}} (2021),,{{increase}} US$261.4 million (2021),{{increase}} US$18.54 billion (2021),{{increase}} US$9.798 billion (2021),"1,240 (December 2021)",{{URL|invitationhomes.com}},Invitation Homes,,[[Leasehold estate]]s,,,{{Start date and age|2012}},,,,"[[Comerica Bank Tower]]<br/ >[[Dallas, Texas]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IQVIA Holdings, Inc.",IQVIA.svg,,,,,,[[Public company|Public]],{{Unbulleted list|NYSE|IQV|[[S&P 500]] component}} {{NYSE|IQV}},,"[[Contract Research Organization]]<br />[[Pharmaceutical company|Pharmaceutical]] Service, [[AI]], [[IT]], [[Consultant|Consulting]]",{{start date and age|1982}},,,,,Ari Bousbib<br />(Chairman & CEO),{{Increase}} {{USD|15.4 billion|link|=|yes}} (2024),{{Increase}} {{USD|2.20 billion}} (2024),{{Increase}} {{USD|1.37 billion}} (2024),{{Increase}} {{USD|26.9 billion}} (2024),{{Decrease}} {{USD|6.07 billion}} (2024),"{{circa|88,000}}",{{URL|iqvia.com}},IQVIA,[[Dennis Gillings]],"Strategy & Operation Consulting, Support services for pharmaceutical, biotech and medical companies and individuals",2024,,,,,,,"[[Durham, North Carolina]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J.B. Hunt Transport Services, Inc.",J. B. Hunt logo.svg,250px,J.B. Hunt intermodal on BNSF train 01.jpg,,J.B. Hunt [[Intermodal container|intermodal]] on [[BNSF Railway]],,[[Public company|Public]],{{ubl|NASDAQ|JBHT|[[DJTA]] component|[[S&P 500]] component}} {{NASDAQ|JBHT}},,,,[[Johnelle Hunt]]<br />[[Johnnie Bryan Hunt]],,,,"John N. Roberts, III ([[chairman of the board]])<br />Shelley Simpson ([[President (corporate title) |President]]) and ([[CEO]])<br />John Kuhlow ([[Chief financial officer|CFO]])",{{nowrap|decrease| |US$|12.830 billion|link|=|yes| |small|(2023)}} {{decrease}} {{US$|12.830 billion|link|=|yes}} {{small|(2023)}},{{nowrap|decrease| US$993 million |small|(2023)}} {{decrease}} US$993 million {{small|(2023)}},{{nowrap|decrease| US$728 million |small|(2023)}} {{decrease}} US$728 million {{small|(2023)}},{{nowrap|increase| US$8.538 billion |small|(2023)}} {{increase}} US$8.538 billion {{small|(2023)}},{{nowrap|increase| US$4.103 billion |small|(2023)}} {{increase}} US$4.103 billion {{small|(2023)}},"34,718",{{url|https://www.jbhunt.com|JBHunt.com}},J.B. Hunt,,,2023,,{{Start date and age|1961|08|10}},,,,"[[Lowell, Arkansas]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabil Inc.,Jabil logo (2023).png,,,,,,[[Public company|Public]],{{ubl|NYSE|JBL|[[S&P 500]] component}} {{NYSE|JBL}},,[[Electronics Manufacturing Services]],,{{ubl|William E. Morean | James Golden}},,,Worldwide,Mark Mondello (Chairman) {{r|AR}} <br />Mike Dastoor (CEO)<br />Gregory Hebard (CFO),{{nowrap|decrease| |US$|28.9&nbsp;billion|link|=|yes| (2024)|r|AR}} {{decrease}} {{US$|28.9&nbsp;billion|link|=|yes}} (2024) {{r|AR}},{{increase}} US$2.01&nbsp;billion (2024) {{r|AR}},{{increase}} US$1.39&nbsp;billion (2024) {{r|AR}},{{decrease}} US$17.4&nbsp;billion (2024) {{r|AR}},{{decrease}} US$1.74&nbsp;billion (2024) {{r|AR}},"138,000 (2024)",{{URL|jabil.com}},Jabil,,,,,"{{Start date and age|1966}} in [[Detroit, Michigan]], U.S.",,,30 countries,"[[St. Petersburg, Florida]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Henry,[[File:Jack-henry-logo.svg|Jack-henry-logo]],,,,,,[[Public company|Public]],{{ubl|NASDAQ|JKHY|[[S&P 400]] component}} {{NASDAQ|JKHY}},,,,,,,,Jack Henry & Jerry Hall<br/> {{nowrap|<small>([[Board Chair (corporate title)|Supervisory board ]] & [[CEO]])</small>}} <br/> {{nowrap|Mimi Carsley}} <br/> {{nowrap|<small>([[CFO]])</small>}} <br/> {{nowrap|Jack Henry}} <br/> {{wrap|<small>[[(corporate title)|vice-president]] & [[CEO]]([[CEO & Founder]] </small>}},{{nowrap|increase| |US$|1.94 billion|link|=|yes}} <br/> {{increase}} {{US$|1.94 billion|link|=|yes}} {{nowrap|<small>(JUN 30 2022)</small>}},{{nowrap|increase| US$474 million}} <br/> {{increase}} US$474 million {{nowrap|<small>(JUN 30 2022)</small>}},{{nowrap|decrease| US$362 million}} <br/> {{decrease}} US$362 million {{nowrap|<small>(JUN 30 2022)</small>}},{{nowrap|increase| US$2.57 billion}} <br/> {{increase}} US$2.57 billion {{nowrap|<small>(DEC 2022)</small>}},{{nowrap|increase| US$1.38 billion}} <br/> {{increase}} US$1.38 billion {{nowrap|<small>(JUN 30 2022)</small>}},"~7,300 (2025)",{{URL|jackhenry.com}},Jack Henry & Associates,,,,,"{{Start date and age|1976}} , in Monett, Missouri",,,,"[[Monett, Missouri]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobs Engineering Inc.,File:Jacobs Engineering Group 2019 logo.svg,,File:HarwoodCenterbuildingDallas.jpg,150px,Headquarters at the [[Harwood Center]] in Dallas,Jacobs Engineering Group Inc.,[[Public company|Public]],{{ubl|NYSE|J|[[S&P 500]] component}} {{NYSE|J}},,{{ubl|[[Engineering]]|[[Architecture]]|[[Construction]]}},,,,,Worldwide,Bob Pragada (chairman & CEO),{{increase}} {{US$|12.0&nbsp;billion|link|=|yes}} (2025),{{increase}} {{US$|864&nbsp;million}} (2025),{{decrease}} {{US$|289&nbsp;million}} (2025),{{decrease}} {{US$|11.3&nbsp;billion}} (2025),{{decrease}} {{US$|3.64&nbsp;billion}} (2025),"{{circa|43,000}} (2025)",{{URL|jacobs.com}},Jacobs Solutions,[[Joseph J. Jacobs]],,,,{{Start date and age|1947}},"{{nowrap| [[Dallas, Texas]]}}",U.S.,,[[Harwood Center]],,,,"{{ubl
|[[CH2M]]
|The KeyW Corporation
|Sverdrup Corporation
|The Buffalo Group
|[[Sir Alexander Gibb & Partners|Gibb]]
|[[Halcrow Group]]
|[[Babtie, Shaw and Morton]]
|Leighfisher
|[[KlingStubbins]]
|Simetrica
|Federal Network Systems
|Edwards & Kelcey
|Aquenta Consulting
|[[Bechtel Jacobs]]
|FMHC Corporation}}",,,,,,,,,,,Financials {{as of|2025|09|26|lc|=|y|df|=|US}} .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson & Johnson,JNJ_Logo_New.svg,250,JohnsonJohnson HQ building.jpg,250,"Headquarters at One [[Johnson and Johnson Plaza]] in [[New Brunswick, New Jersey]], U.S.",,[[Public company|Public]],"{{Unbulleted list
 | |NYSE|JNJ|
 | [[Dow Jones Industrial Average|DJIA]] component
 | [[S&P 100]] component
 | [[S&P 500]] component}} {{NYSE|JNJ}}",{{ISIN|sl|=|n|pl|=|y|US4781601046}},"{{Unbulleted list
 | [[Pharmaceutical industry|Pharmaceutical]]
 | [[Medical Technology]]}}",,"{{Unbulleted list
 | [[Robert Wood Johnson I]]
 | [[James Wood Johnson]]
 | [[Edward Mead Johnson]]}}","[[New Brunswick, New Jersey]]","U.S.<br /> {{Coord|40|29|55|N|74|26|37|W|format|=|dms|type:landmark_region:US-NJ|display|=|title,inline}}",Worldwide,"{{Unbulleted list
 | [[Joaquin Duato]] ([[chairman]] & [[Chief executive officer|CEO]])}}",{{increase}} {{US$|88.82&nbsp;billion|link|=|yes}} (2024),{{decrease}} {{US$|20.80 billion}} (2024),{{decrease}} {{US$|14.07 billion}} (2024),{{increase}} {{US$|180.1 billion}} (2024),{{increase}} {{US$|71.49 billion}} (2024),"138,100 (2024)",{{url|https://www.jnj.com/ |jnj.com}},Johnson & Johnson,,[[List of Johnson & Johnson products and services]],,,"{{Start date and age|1886|1}} in [[New Brunswick, New Jersey]], U.S.",,,,,[[Johnson and Johnson Plaza]],,,"{{collapsible list|
 | [[Johnson & Johnson Pharmaceutical Research and Development]]
 |bulleted list 
 | [[Actelion|Actelion Pharmaceuticals]] 
 | [[Cilag]] 
 | [[Janssen Biologics]]
 | [[Janssen Global Services]]
 | [[Janssen Therapeutics]]
 | [[Janssen Vaccines|Janssen Vaccines & Prevention]]
 | [[Momenta Pharmaceuticals]]
 |
 | [[Johnson & Johnson MedTech]]
 |bulleted list
 | [[Abiomed]]
 | [[Acclarent]]
 | [[Biosense Webster]]
 | [[Cerenovus]]
 | [[DePuy Synthes]]
 | [[Ethicon]]
 | [[Johnson & Johnson Vision]]
 | [[Mentor (company)|Mentor]]
 | [[Synthes]]
 | [[V-Wave]]
 | [[Shockwave Medical]]
|
 | [[Johnson & Johnson Services]]}} {{bulleted list 
 | [[Actelion|Actelion Pharmaceuticals]] 
 | [[Cilag]] 
 | [[Janssen Biologics]]
 | [[Janssen Global Services]]
 | [[Janssen Therapeutics]]
 | [[Janssen Vaccines|Janssen Vaccines & Prevention]]
 | [[Momenta Pharmaceuticals]]}} {{bulleted list
 | [[Abiomed]]
 | [[Acclarent]]
 | [[Biosense Webster]]
 | [[Cerenovus]]
 | [[DePuy Synthes]]
 | [[Ethicon]]
 | [[Johnson & Johnson Vision]]
 | [[Mentor (company)|Mentor]]
 | [[Synthes]]
 | [[V-Wave]]
 | [[Shockwave Medical]]}}",,,,,,,,,,,,,,,"{{plainlist|
* [[o.b. (brand)|o.b.]] (1974–2013) 
* [[Reach (brand)|Reach]] (1977–)
* [[Rolaids]] (2006–13)
* [[Savlon]] (1992–)}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson Controls International plc,Johnson Controls.svg,,,,,,[[Public limited company|Public]],{{ubl|NYSE|JCI|[[S&P 500]] component}} {{NYSE|JCI}},{{ISIN|sl|=|n|pl|=|y|IE00BY7QL619}},[[Conglomerate (company)|Conglomerate]],"{{start date and age|1885|df|=|yes}} (as Johnson Electric Service Company)<br> {{start date and age|September 9, 2016|df|=|yes}} (current Johnson Controls International plc)",,,,,Joakim Weidemanis (CEO),{{nowrap| |increase| |US$|23.6&nbsp;billion|link|=|yes| (2025)}} {{increase}} {{US$|23.6&nbsp;billion|link|=|yes}} (2025),{{increase}} {{US$|2.28&nbsp;billion}} (2025),{{increase}} {{US$|3.29&nbsp;billion}} (2025),{{decrease}} {{US$|37.9&nbsp;billion}} (2025),{{decrease}} {{US$|12.9&nbsp;billion}} (2025),"{{circa|87,000}} (2025)",,Johnson Controls,[[Warren S. Johnson]],"[[HVAC control system|Climate Control]], [[HVAC]], [[Facility Management]], Fire Alarm and Suppression",,,,,,,,"[[Cork (city)|Cork]], [[Ireland]]",,,[[Johnson Controls Hitachi]],,,,,,,,,,,Financials {{as of|2025|09|30|lc|=|y|df|=|US}} .,,,,,,,,,{{Official URL}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPMorgan Chase & Co.,Logo of JPMorganChase 2024.svg {{!}} class=skin-invert,,270 Park Avenue Photomontage Day.jpg,,JPMorganChase World Headquarters at <br>[[270 Park Avenue (2021–present)|270 Park Avenue]] in [[New York City]],,[[Public company|Public]],{{ubl|NYSE|JPM|[[DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|JPM}},{{ISIN|sl|=|n|pl|=|y|US46625H1005}},[[Financial services]],,,,,Worldwide,"{{Unbulleted list
   | [[Jamie Dimon]] ([[chairman]] & [[Chief executive officer|CEO]])
   | [[Jennifer Piepszak]] ([[Chief operating officer|COO]])
   | Daniel E. Pinto ([[President (corporate title)|President]])}}",{{increase}} {{US$|177.6 billion|link|=|yes}} (2024),,{{increase}} {{US$|58.47 billion}} (2024),{{increase}} {{US$|4.003 trillion}} (2024),{{increase}} {{US$|344.8 billion}} (2024),"317,233 (2024)",{{url|https://www.jpmorganchase.com/|jpmorganchase.com}},JPMorgan Chase,,,,,{{Start date and age|2000|12|1}},[[New York City]],United States,,[[270 Park Avenue (2021–present)|270 Park Avenue]],,,,"{{Unbulleted list
 | [[Chase Bank]]
 | [[Chase UK]]
 | [[J.P. Morgan & Co.]]
 | [[One Equity Partners]]}}",,,,,{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},,,,,,,,,,,,"{{ubli 
   | [[Manhattan Company]] (founded 1799)
   | [[Chemical Bank]]<br>(founded 1824)
   | [[J.P. Morgan & Co.]]<br>(founded 1871)
   | [[Chase National Bank]] (founded 1877)}}",,,,,{{increase}} {{US$|4.045 trillion}} (2024),,,,,,,,,[[Tier 1 capital|Tier 1]] 16.8% (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellanova,Kellanova logo.svg,,,,,Battle Creek Toasted Corn Flake Company (1906–1909)<br>Kellogg Toasted Corn Flake Company (1909–1922)<br>Kellogg Company (1922–2023),[[Public company|Public]],{{ublist |nyse|K| |[[S&P 500]] component}} {{nyse|K}},,[[Food processing]],,,,,Worldwide,Steven Cahillane ([[chairman]] & [[Chief executive officer|CEO]]),{{decrease}} US$12.7&nbsp;billion,{{increase}} US$1.87&nbsp;billion,{{increase}} US$1.34&nbsp;billion,{{increase}} US$15.6&nbsp;billion,{{increase}} US$3.78&nbsp;billion,"{{circa|24,000}}",{{URL|kellanova.com}},Kellanova,[[Will Keith Kellogg]],{{ublist |[[Breakfast cereal|Cereals]] (outside North America) |[[Cracker (food)|Crackers]] |[[Toaster pastries]] |Cereal bars |Fruit-flavored snacks |[[Waffles|Frozen waffles]] |[[Vegetarian cuisine|Vegetarian foods]]}},2024,,"{{plainlist|
*  |Start date and age|1906|02|19| (as Battle Creek Toasted Corn Flake Company) in<br />[[Battle Creek, Michigan]], U.S.
* |Start date and age|2023|10|02| (as Kellanova)}} {{Start date and age|1906|02|19}} (as Battle Creek Toasted Corn Flake Company) in<br />[[Battle Creek, Michigan]], U.S.
* {{Start date and age|2023|10|02}} (as Kellanova)","[[Chicago]], [[Illinois]]",U.S.,,,,,,,[[Kellogg's]],,,,,2024,2024,2024,2024,2024,,,,,{{ublist |Kellogg's|[[Eggo]] |[[Gardenburger]] |[[Pringles]] |[[Rxbar]]| [[Pop-Tarts]] |[[Rice Krispies Treats]]<br>[[Cheez-It]]}},,,,,,,,,,,,{{ublist |[[W. K. Kellogg Foundation]] (17.6%)|[[Gordon Gund]] (6.1%)|[[KeyCorp]] (6.1%)}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
