name,logo,type,traded_as,industry,founded,hq_location,hq_location_city,hq_location_country,area_served,key_people,products,revenue,owner,num_employees,subsid,homepage,_company_name,native_name,logo_size,image,image_caption,foundation,founder,location_city,location_country,services,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,owners,footnotes,website,image_size,module,num_employees_year,parent,location,logo_upright,ISIN,aum,ratio,predecessor,logo_caption,former_name,rating,native_name_lang,trading_name,brands,romanized_name,box_width,other_name,color,logo_width,image_width,system,status,locale,start,end,stations,ridership2,open,yearcommenced,operator,character,stock,linelength,gauge,minradius,maxincline,electrification,speed,map,map_state,embedded,divisions,founders,defunct,fate,trade_name,num_locations,num_locations_year,production,pic,piccap,t,l,p,image_alt,caption,linelength_km,tracks,signalling,successor,company_name,company_logo,company_type,airline,fleet_size,destinations,IATA,ICAO,callsign,hubs,secondary_hubs,focus_cities,frequent_flyer,alliance,subsidiaries,headquarters,image_upright,commenced,bases,profit,profit_year
China Petroleum and Chemical Corporation,[[File:Sinopec.svg|100px]],[[Public company|Public]],{{ubl|SSE|600028|SEHK|386|[[Hang Seng Index]] component|CSI A50}} {{SSE|600028}} {{SEHK|386}},[[Oil and gas industry|Oil and gas]],,,,,Worldwide,{{ubl|Ma Yongsheng (chairman)|Zhang Dong (vice chairman & president)|ref|{{cite web |title=Board of Directors Sinopec Corp |url=http://www.sinopec.com/listco/en/about_sinopec/our_company/board_of_directors/ |website=www.sinopec.com |access-date=25 August 2024}}|</ref>}},"[[Fuel]]s, [[natural gas]], [[lubricant]]s, [[petrochemical]]s",,,"374,791 (2022)",,{{Official URL}},China Petroleum & Chemical Corporation,中国石油化工股份有限公司,,[[File:SinopecHQChaoyang.JPG|250px]],Headquarters in Beijing,"{{Start date and age|df|=|yes|25 February 2000}} , in [[Beijing]], China",,,,,,,,{{increase}} {{CNY|75.643 billion}} (2022),,"{{increase}} {{CNY|2,026.640 billion}} (2023)",,"{{nowrap|increase| |CNY|784.706 billion| (2022)|ref| name=""report2022""}} {{increase}} {{CNY|784.706 billion}} (2022)",,,,,,,,,"[[Chaoyang District, Beijing|Chaoyang District]], Beijing, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinghuacun Fenjiu <br /> 杏花村汾酒,[[File:Xinghuacun_fenjiu_icon_logo.svg|250px]],[[Public company|Public]] <br /> [[State-owned enterprise]],{{sse|600809}},[[Alcoholic drink]],,,,,International,Yuan Qingmao <br/ > ([[Chairman]]) <br /> ([[Chinese Communist Party Committee Secretary|Committee Secretary]]),Baijiu,{{increase}} (2022) <br /> {{CNY|26.2 billion}} <br /> {{US$|3.9 billion}},,"13,712",,[https://www.fenjiu.com.cn/index.html fenjiu.com.cn],Shanxi Xinghuacun Fen Wine Factory,,,,,{{start date and age|1949}},,"[[Xinghuacun, Shanxi|Xinghuacun]], [[Fenyang]], [[Shanxi]]",[[China]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China State Construction<br>Engineering Corporation,China State Construction Engineering Corporation logo.svg,[[State-owned enterprise]],CSI A50,[[Construction]],,,,,Worldwide,"{{plainlist|
*[[Zheng Xuexuan]] |small|([[Chairman]])|<br>|small|([[Party Secretary]])}} {{small|([[Chairman]])}} <br> {{small|([[Party Secretary]])}}",,{{increase}} [[US$]] 320.4 billion (2023),[[State Council of the People's Republic of China|Central People's Government]],"382,894 (2023)",China State Construction Engineering Corporation Limited (56.26%),{{Official URL}},China State Construction Engineering,{{lang|zh-CN|中国建筑集团有限公司}},140px,"CSCEC Building, Block A (20201125131900).jpg",Headquarters in 2020,{{start date and age|1957}},,[[Beijing]],China,,,,,{{decrease}} [[US$]] 4.4 billion (2023),,[[US$]] 410.1 billion (2023),,,,,,,170px,,,,,,,,,,Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WuXi AppTec,WuXi AppTec.svg,[[Public company|Public]],{{ubl|SSE|603259|SEHK|2359|[[Hang Seng Index]] component|CSI A50}} {{SSE|603259}} {{SEHK|2359}},[[Contract Research Organization]]s<br />[[Pharmaceutical]]<br/>[[Biopharmaceutical]] <br/> [[Medical Devices]],,,,,,[[Ge Li]],,,,,,,WuXi AppTec,,,,,{{start date and age|2000}},,,,,,,,,,,,,,,,{{Official URL}},,,,,"[[Shanghai]], [[China]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muyuan Foodstuff,,,CSI A50,Food,,,,,,,Pork,,,"137,000",,,Muyuan Foodstuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ping An Bank,Ping An Bank Logo.svg,[[Public company|Public]],{{SZSE|000001}},Financial services,,,[[Shenzhen]],China,Worldwide,,,"{{increase}} {{CNY|link|=|yes|96.163&nbsp;[[1,000,000,000|billion]]}}",{{ubl|[[Ping An Insurance]] (55.67%)|[[China Securities Finance]] (2.99%)|other shareholders (41.34%)}},,,,Ping An Bank,,,Headquarters of Pingan Bank.jpg,Headquarters in Shenzhen,{{ubl|start date|1995|6|22|df|=|yes| (Ping An Bank)|start date|1987|12|22|df|=|yes|&nbsp;(S.Z.&nbsp;Dev.&nbsp;Bank)|2012 (merger)}} {{start date|1995|6|22|df|=|yes}} (Ping An Bank) {{start date|1987|12|22|df|=|yes}} &nbsp;(S.Z.&nbsp;Dev.&nbsp;Bank),,,,Retail and corporate banking,2015,{{increase}} {{CNY|28.895&nbsp;billion}},2015,{{increase}} {{CNY|21.865&nbsp;billion}},2015,{{increase}} {{CNY|3.42&nbsp;[[Trillion (short scale)|trillion]]}},2018,{{increase}} {{CNY|161.500&nbsp;billion}},2015,,"figures from 2015 Annual Report, please see the report for their definition of revenue, operating income in [[Chinese accounting standards]]; Ping An Life Insurance also held and additional 2.27% as the investment manager for their customers, thus excluding from the stake of Ping An Insurance.",,,,,[[Ping An Insurance]],,,,,{{increase}} 9.03% (CET1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wens Foodstuff Group,Wens logo.png,,,Food,,,,China,,,Pork,,,,,,Wens Foodstuff Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Minsheng Banking Corporation Limited <br /> 中国民生银行股份有限公司,Minshengbank.svg,[[Publicly traded company]],{{SSE|600016}} <br> {{hkex|1988}} <br>[[SSE 50 Index|SSE 50 Component]],[[Bank]],,,,,Mainland [[China]]<br>[[Hong Kong]],,,,Mainly [[private sector]] corporations in China,,,{{URL|http://www.cmbc.com.cn/}},China Minsheng Bank,,250px,File:MinshengBankBeijing.jpg,Head office of China Minsheng Bank on [[Fuxingmen Inner Street]] in Beijing,{{start date and age|1996|1|12|df|=|y}},,[[Beijing]],,,,CNY¥ {{FXConvert|CHN|137.4|b}} {{small|(2023)}},,,,CNY¥ {{FXConvert|CHN|7.64|t}} {{small|(2023)}},,,,,,,250px,,,,"No. 2 Fuxingmennei Avenue, Xicheng District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Minsheng Private Banking Service]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PetroChina Company Limited<br /> {{lang|zh-hans|中国石油天然气股份有限公司}},Petrochina logo.svg,[[State owned enterprise]],{{ubl|SSE|601857|SEHK|857|[[Hang Seng Index]] component}} {{SSE|601857}} {{SEHK|857}},[[List of petroleum companies|Oil and gas]],,,,,Worldwide with primary markets in China,[[Zhou Jiping]] ([[chairman]])<br />Wang Dongjin ([[Chief Executive Officer|CEO]]),"[[Fuel]]s, [[lubricant]]s, [[natural gas]], [[petrochemical]]s",{{increase}} {{USD|link|=|yes|297 Billion}} (2020),,"506,000 (2019)",[[Singapore Petroleum Company]],{{URL|http://www.petrochina.com.cn/ptr/|petrochina.com.cn}},PetroChina,中国石油天然气股份有限公司,,中石油大楼远景.jpg,Headquarters in Beijing,{{Start date and age|1999|11|5|df|=|y}},,,,,,"{{increase}} {{CNY|67,722 million}} (2017)",,"{{increase}} {{CNY|36,793 million}} (2017)",,"{{increase}} {{CNY|2,404,612 million}} (2017)",,"{{increase}} {{CNY|1,381,319 million}} (2017)",,,,,250px,"{{Infobox Chinese|child|=|yes
| s |=| 中国石油天然气股份有限公司
| t |=| 中國石油天然氣股份有限公司
| p |=| Zhōngguó Shíyóu Tiānránqì Gǔfèn Yǒuxiàn Gōngsī
| w |=| 
| mi |=| 
| y |=| 
| j |=| 
| order |=| st
| pic |=|}}",,[[China National Petroleum Corporation]],"[[Dongcheng District, Beijing|Dongcheng District]], [[Beijing]] 
 China",.7,{{Unbulleted list|ISIN|sl|=|n|pl|=|y|CNE1000007Q1|ISIN|sl|=|n|pl|=|y|CNE1000003W8}} {{ISIN|sl|=|n|pl|=|y|CNE1000007Q1}} {{ISIN|sl|=|n|pl|=|y|CNE1000003W8}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shaanxi Coal and Chemical Industry Group Co., Ltd.",,State owned,,[[Coal mining]],,,,,,Hua Wei (former Chairman)<br>Yang Zhaoqian (Chairman),[[Coal]],[[US$]] 74.777 billion (2023),,"140,142 (2023)",,{{URL|www.shccig.com}},Shaanxi Coal Industry Company,,,,,{{Start date|2004}},,[[Xi'an]],[[China]],,,,,[[US$]] 1.114 billion (2023),,[[US$]] 100.9 billion (2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhongji Innolight Co., Ltd.",Zhongji Innolight.png,[[Public company|Public]],{{Szse|300308}} <br>[[CSI A100 Index|CSI A100]],[[Electronics industry|Electronics]],,,,,,Wang Weixiu (Chairman)<br>Liu Sheng (President),,{{Increase}} {{CNY|link|=|yes|10.72 billion}} (2023),,"6,166 (2023)",,{{URL|www.zj-innolight.com}},Zhongji Innolight,中际旭创股份有限公司,,,,{{start date and age|1987|05}},,,,,,,,{{Increase}} {{CNY|link|=|yes|2.21 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|20.01 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|14.78 billion}} (2023),,,,,,,,,"[[Longkou]], [[Shandong]], [[China]]",,,,,,,,,,Innolight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semiconductor Manufacturing International Corporation,SMIC logo.svg,[[Public company|Public]]; [[State-owned enterprise]],{{SSE|688981}} (A share)<br> {{hkex|0981}} (H share)<br>CSI A50,[[Semiconductors]],,,,,,Haijun Zhao (Co-CEO)<br>[[Liang Mong Song]] (Co-CEO),,{{increase}} [[United States dollar|US$]]8.0 billion (2024),,"17,354 (2020)",,{{Official URL}},Semiconductor Manufacturing International Corporation,中芯国际集成电路制造有限公司 (中芯国际),,SMIC，Shenzhen Factory.jpg,"SMIC's ""SZ"" Fabrication Facility in [[Shenzhen]], [[China]]",{{start date and age|2000|4|3}} <br>[[Cayman Islands]]<br />(legal domicile),[[Zhang Rujing]],,,,,,,{{decrease}} US$493 million (2023),,,,,,,,,,,,,"[[Shanghai]], [[China]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTE Corporation,ZTE-logo.svg,[[Public company|Public]]; [[state-owned enterprise]],{{Szse|000063}} <br> {{sehk|763}} <br>CSI A50,{{nowrap|[[Telecommunications equipment]]}} <br />[[Networking equipment]],,,,,Worldwide,Ms. Fang Rong (Chairman and Executive Director) <br> Mr. Xu Ziyang (Executive Director and CEO),"[[Mobile phones]], [[smartphones]], [[tablet computer]]s, hardware, [[computer software|software]], all series of wireless, wireline, services, devices and professional telecommunications services and services to telecommunications service providers and enterprises","{{increase}} {{CNY|122.95&nbsp;[[1,000,000,000|billion]]|link|=|yes}} / US $17.68 billion",Zhongxingxin (20.29% in 2022); [[China Aerospace Science and Industry Corporation]],"74,811",[[Nubia Technology]] (49.9%)<br/> [[ZTEsoft]] <br/> [[Zonergy]],{{Official URL}},ZTE,,180px,ZTE building in Hi-tech Zone of Nanshan District.jpg,"ZTE building in Hi-tech Zone of Nanshan District, Shenzhen, Guangdong","{{start date and age|df|=|yes|1985}} (as Zhongxing Semiconductor Co., Ltd.)",Hou Weigui,,,,2022,{{increase}} {{CNY|6.16 &nbsp;billion}},2022,{{increase}} {{CNY|8.08&nbsp;billion}},2022,{{increase}} {{CNY|180.95&nbsp;billion}},2022,{{increase}} {{CNY|58.64&nbsp;billion}},2022,,In [[consolidated financial statement]]; shareholders' equity figure are excluding perpetual capital instrument,,180px,,2022,,"55 Hi-tech Road South<br>[[Shenzhen]], [[Guangdong]], China<br>518057",,{{Unbulleted list|ISIN|sl|=|n|pl|=|y|CNE000000TK5|ISIN|sl|=|n|pl|=|y|CNE1000004Y2}} {{ISIN|sl|=|n|pl|=|y|CNE000000TK5}} {{ISIN|sl|=|n|pl|=|y|CNE1000004Y2}},,,,,Zhongxing Telecommunication Equipment Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of China Limited,Bank of China.svg,[[Public company|Public]]<br />[[State-owned enterprise|State-owned]],{{ubl|SSE|601988| (A share)|hkse|3988| (H share)|<hr>|[[SSE 50 Index|SSE 50 Component]] (A)|[[Hang Seng Index|Hang Seng Component]] (H)}} {{SSE|601988}} (A share) {{hkse|3988}} (H share),[[Financial services]],,,,,Worldwide,[[Ge Haijiao]] ([[Chairman]] and [[President (Corporation)|President]]),{{ubl | [[Asset management]] | [[Banking]] | [[Commodities]] | [[Credit card]]s | [[Equities trading]] | [[Insurance]] | [[Investment management]] | [[Mortgage loan]]s | [[Private equity]] | [[Wealth management]]}},{{Increase}} {{CNY|link|=|yes|503.81 billion}} <br><small>$73.23&nbsp;billion</small>,[[Government of China]],"306,322",{{ubl|[[Bank of China (Hong Kong)]]|[[Bank of China#Canada|Bank of China (Canada)]]}},{{URL|https://www.boc.cn/en/|boc.cn}} <br> {{URL|https://www.bankofchina.com/en/|bankofchina.com}} <br> {{URL|https://www.bank-of-china.com/en/|bank-of-china.com}} <br> {{URL|https://www.bocusa.com/|bocusa.com}},Bank of China,中国银行股份有限公司,,File:BOC Headquarters at Xidan (20171123140827).jpg,"Bank of China Headquarters in [[Beijing]], China, inaugurated in 2001",{{start date and age|1905}} (as [[Da-Qing Bank]])<br> {{start date and age|1912}} (as Bank of China)<br> {{start date and age|1979}} (re-established),[[Chen Jintao]],[[Beijing]],[[China]],,2018,{{Increase}} {{CNY|227.53 billion}} <br />$33.07&nbsp;billion,2018,{{Increase}} {{CNY|192.44 billion}} <br />$27.97&nbsp;billion,2018,{{Increase}} {{CNY|21.267 trillion}} <br />$3.091&nbsp;trillion,2018,{{Increase}} {{CNY|1.613 trillion}} <br />$234&nbsp;billion,2018,,,,,,2021,,,,{{Unbulleted list|ISIN|sl|=|n|pl|=|y|CNE000001N05|ISIN|sl|=|n|pl|=|y|CNE1000001Z5}} {{ISIN|sl|=|n|pl|=|y|CNE000001N05}} {{ISIN|sl|=|n|pl|=|y|CNE1000001Z5}},,16.91% (2021),,,,"A, A-1, Stable ([[S&P]])<br />A1, P-1, Stable ([[Moody's Investors Service#Moody's credit ratings|Moody's]])<br />A, F1+, Stable ([[Fitch Ratings|Fitch]])",zh-Hans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SF Holding Co., Ltd.",SF_Express_Logo.png,[[Public company|Public]],{{ubl|szse|002352|[[SZSE 100 Index|SZSE 100 Component]]|hkse|6936}} {{szse|002352}} {{hkse|6936}},[[Air Freight]] and [[Logistics]],,,,,Worldwide,,International express delivery and logistics services,"US$ (approx.) 39,500 million (2024)",,"147,189 (2024)",[[SF Airlines]]<br>SF Supply Chain<br>[[SF Technology]]<br>[[SF Intra-city]],{{Official URL}},S.F. Holding,,220px,,,{{Start date and age|1993|03|26}},[[Wang Wei (SF Express)|Wang Wei]],"[[Shenzhen]], [[Guangdong]]",[[China]],,,,,"US$ (approx.) 1,410 million (2024)",,"US$ (approx.) 29,900 million (2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NARI Technology Co., Ltd",NARI Technology.png,[[Public company|Public]]; [[State-owned enterprise]],{{SSE|600406}} <br>CSI A50,[[Electrical equipment]],,,,,,Shan Shewu (Chairman)<br>Zhang jianming (President),,{{Increase}} {{CNY|link|=|yes|51.57 billion}} (2023),NARI Group (51%),"11,016 (2023)",,{{URL|www.naritech.cn}},NARI Technology,国电南瑞科技股份有限公司,,,,{{start date and age|2001|02|28|df|=|y}},,,,,,,,{{Increase}} {{CNY|link|=|yes|7.65 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|86.09 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|50.38 billion}} (2023),,,,,,,,,"[[Nanjing]], [[Jiangsu]], [[China]]",,,,,,,NARI Technology Development,,,NARI-TECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Mobile Limited<br /> {{lang|zh-CN|nobold|中国移动通信集团公司}} {{nobold|中国移动通信集团公司}},China Mobile logo (2019).svg,[[Public company|Public]]; [[state-owned enterprise]],{{ubl|SSE|600941| ([[A-share (mainland China)|A-share]])|sehk|941| ([[H share]])|[[Hang Seng Index]] component|CSI A50}} {{SSE|600941}} ([[A-share (mainland China)|A-share]]) {{sehk|941}} ([[H share]]),[[Telecommunications industry|Telecommunications]],,,,,"{{ubl|[[China]]|[[Hong Kong]] ''(as [[CMHK]])''|[[Pakistan]] ''(as [[Zong 4G|Zong]])''|[[Japan]], [[Thailand]], [[United Kingdom]], [[Singapore]], [[Italy]] and [[Canada]] ''(as CMLink)''}}",Yang Jie ([[Chairman]]),,{{increase}} {{CNY|812.0 billion|link|=|yes}} (2022),[[Government of China]] (72.72%) {{rp|65}},"450,698 (2022)",{{aligned table|[[CMHK]]|(100%)|[[Zong Pakistan|Zong]]|CMLink}},{{URL|http://www.10086.cn/}} <br/> {{URL|http://www.chinamobileltd.com}},China Mobile,,,中国移动通信集团公司 东南侧.jpg,Headquarters in Beijing,{{start date and age|df|=|yes|1997|09|03}},,,,{{ubl|[[Landline|Fixedline telephony]]|[[Mobile phone|Mobile telephony]]|[[Internet access|Broadband internet]]|[[Digital television]]|[[Internet television]]}},,{{increase}} {{CNY|129.0 billion}} (2022),,{{increase}} {{CNY|125.6 billion}} (2022),,{{increase}} {{CNY|1.93 trillion}} (2022),,{{increase}} {{CNY|1.30 trillion}} (2022),,,Source of the financial figures: the [[consolidated financial statement]]s,,,"{{Infobox NSP
| child |=| yes
| asn |=| 9808
| asn_suffix |=| (China)
| asn2 |=| 58453
| asn2_suffix |=| (International)
| trafficlevels |=| 5-10&nbsp;Tbit/s|ref|{{cite web |url=https://www.peeringdb.com/asn/58453 |title=PeeringDB |author=China Mobile International |publisher=PeeringDB |access-date=October 7, 2022}}|</ref>|}}",,China Mobile Communications Group,"[[Beijing]], [[China]]<br />[[Shanghai]], [[China]]",,{{ISIN|sl|=|n|pl|=|y|HK0941009539}},,,China Telecom (Hong Kong) Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weichai Power Co., Ltd.",Weichai Logo Transparent3.png,,{{sehk|2338}} <br /> {{szse|000338}},Industrial machinery,,,,,Worldwide,[[Chairman]]: Tan Xuguang,Automotive parts<br/>[[Diesel engines]]<br />Forklifts,$28.38 billion (2021),,"81,600 (2021)",[[Moteurs Baudouin]],[https://www.weichaipower.com/ www.weichaipower.com],Weichai Power,潍柴动力股份有限公司,,,"Weichai headquarters in [[Weifang]], [[China]]",{{Start date and age|2002}},,"[[Weifang]], [[Shandong]]",[[China]],,,,,$1.334 billion (2021),,,,,,,,,250px,,,"Shandong Heavy Industry Group Co., Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China United Network Communications Group Co., Ltd.",China Unicom logo (2022).svg,[[State-owned enterprise]],{{ubl|SSE|600050|#tag:ref|See [[#Stock|§Stock]] for the listing structure of the company.|group|=|nb|SEHK|762|[[Hang Seng Index]] component|[[CSI A100 Index|CSI A100]]}} {{SSE|600050}} {{#tag:ref|See [[#Stock|§Stock]] for the listing structure of the company.|group|=|nb}} {{SEHK|762}},[[Telecommunications]],,,,,{{ubl|[[Mainland China]]|[[Hong Kong]]|[[Macau]]|[[North Korea]]}},,{{ubl|[[Landline|Fixed-line telephony]]|[[Mobile phone|Mobile telephony]]|[[Internet access]]|[[Digital television]]}},,{{nowrap|[[State-owned Assets Supervision and Administration Commission of the State Council|Central People's Government]]}} (100%),"244,508",{{aligned table|fullwidth|=|y|style|=|text-align: left; font-size: 100%;|China&nbsp;United Network&nbsp;Communications|(53.78%)|→ China Unicom (H.K.)}} [[PCCW]] (18.46%),{{Official URL}},China United Network Communications,{{lang|zh-CN|中国联合网络通信集团有限公司}},,,,{{start date and age|1994|6|18|df|=|y}},{{ubl|Ministry of Railways|Ministry of Electronics Industry|Ministry of Electric Power Industry}},,,,,,,,,,,,,,data obtained from China United Network Communications Ltd. (the accounts of the parent company was not disclosed); in [[consolidated financial statement]]; excluding minority interests to [[red chip]] minority shareholders,,,"{{Infobox NSP
| child |=| yes
| asn |=| 4837
| trafficlevels |=| 10-20&nbsp;Tbps|ref|{{cite web |url=https://www.peeringdb.com/asn/4837 |title=PeeringDB |author=China Unicom |publisher=PeeringDB |access-date=October 31, 2022 |archive-date=February 8, 2023 |archive-url=https://web.archive.org/web/20230208023131/https://www.peeringdb.com/asn/4837 |url-status=live }}|</ref>|}}",2023,,"[[Xicheng, Beijing]], China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iFlytek,File:IFlytek logo.png,[[Public company|Public]]; [[State-owned enterprise]],{{SZSE|002230}} <br>CSI A50,[[Information technology]],,,,,"[[speech synthesis]], [[speech recognition]] and natural language processing",,,,[[China Mobile]],,,{{Official URL}},Iflytek,科大讯飞,,Beijing iFLYTEK Building at ZPark Phase I (20240807160653).jpg,iFlytek office in Beijing,{{Start date and age|1999}},[[Liu Qingfeng]],"[[Hefei]], [[Anhui]]",China,,,,,,,,,,,,,,,,,,,,,,,,,,,zh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haier Group Corporation,Haier logo.svg,[[Public company|Public]],{{Unbulleted list|SSE|600690|SEHK|6690|fwb|690D}} [[Dow Jones and Company|Dow Jones]] China 88 Index component<br>[[CSI A100 Index|CSI A100]] {{SSE|600690}} {{SEHK|6690}} {{fwb|690D}},{{ubl|[[Home appliance]]s|[[Consumer electronics]]}},,,,,Worldwide,{{ubl|[[Zhang Ruimin]] ([[chairman]] & [[Chief executive officer|CEO]])|Liang Haishan (rotating [[President (corporate title)|president]])|Zhou Yunjie (rotating president)}},{{ubl|[[Major appliance]]s<br/>[[Small appliance]]s|Commercial heating and cooling systems|[[Consumer electronics]]}},{{increase}} {{CNY|227.5 billion|link|=|yes}} (2021) (Haier Smart Home),,"109,586 (2021) (Haier Smart Home)","{{ubl|Haier Smart Home Company (35%), owner of [[GE Appliances]] (U.S.)|[[Hotpoint]] (U.S.)|[[The Hoover Company|Hoover]] (Europe)|[[Candy (company)|Candy]]|[[Fisher & Paykel]]|Evo (Russia)|[[Thunderobot]]}}",{{URL|https://www.haier.com/|haier.com}},Qingdao Haier,海尔集团公司,265px,HaierHQ.jpg,"Headquarters in [[Qingdao]], [[Shandong]]",{{Start date and age|df|=|y|1984|4|28}},[[Zhang Ruimin]],"[[Qingdao]], [[Shandong]]",China,,,{{increase}} {{CNY|15.91 billion}} (2021) (Haier Smart Home),,{{increase}} {{CNY|13.21 billion}} (2021) (Haier Smart Home),,{{increase}} {{CNY|217.5 billion}} (2021) (Haier Smart Home),,{{increase}} {{CNY|81.0 billion}} (2021) (Haier Smart Home),,,,,250px,,,,,,,,,,,,,zh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
